739;0.6
601;0.4
1151;0
583;0.6
889;0
520;0.8
474;0
1278;0
462;0.3
1445;0.4
1340;0
1354;0
83;0.6
1665;0
1197;0.3
222;0
158;0
778;0
647;0
262;0.6
407;0.4
1562;0.4
971;0.1
1736;0
1209;0
789;0.1
547;0.3
805;0
644;0
719;0.9
1311;0
992;0.4
575;1
896;0.8
887;0.2
246;0.6
254;0.6
213;0.4
770;0.2
750;0.4
1243;0.6
1421;0.6
76;0.6
1563;0.4
962;0.6
183;0.6
930;0.6
1190;0
581;0.7
744;0
813;0
489;0.2
804;0.6
190;0.4
503;0.4
978;0
866;0
1054;0
1701;0.2
392;0
1623;0
1144;0
69;0
1066;0
134;0
642;0
83;0
967;0
1539;0.6
979;0
1331;0
1342;0
1517;0
150;0
1249;0
454;0.6
1364;0
885;0
1231;0
1560;0.6
1743;0.2
1681;0
1398;0.1
1456;0
370;0.4
1738;0
747;0
425;0.3
1620;0
384;1
421;0.6
242;0.6
154;0.8
972;0.4
246;0.6
1139;0
1668;0.4
1178;0
449;0.6
1109;0.3
259;0.1
1340;0
706;0
447;1
1545;0.6
1180;0
95;0.4
78;0.6
9;1
1752;0
57;0.4
761;0.8
152;0.6
409;0.8
975;0
689;0.1
427;1
79;0.4
713;0
1085;0
414;0.4
1178;0
1551;0
914;0
1459;0.9
307;1
620;0
1292;0
1682;0
453;0.9
129;0.9
1117;0.7
1060;0
760;0
947;0
1661;0
68;0
1574;0
1533;0
1604;0
1532;0.1
693;0
108;0
273;0.9
1230;0
1714;0
1754;0
1276;0.1
1239;0.3
951;0
1718;0.6
783;0
1122;0
573;0.3
1445;0
661;0.6
362;1
1154;0
490;0
774;0.1
1102;0.4
495;0
387;0.4
670;0
734;0.6
1074;0
113;0.6
109;0.2
1668;0
1009;1
117;0
637;0
1163;0.1
443;0
1144;0.6
1554;0
1637;0.1
305;0.7
1430;0
744;0
624;0.2
938;0.2
584;0.2
1054;0
563;0
633;0.1
707;0.6
181;0.9
1635;0.9
688;0
504;0
430;0
190;0.6
198;1
167;0.4
1315;0.4
44;0.6
27;0.9
898;0.7
252;0.3
1298;0.6
1125;0.1
1488;0.3
1648;0
229;0.1
605;0
55;0.2
985;0
927;0
1004;0.8
1254;0.6
829;0
763;0
1530;0
1599;0
1680;0
431;0.1
1264;0
615;0.8
833;0.4
584;0
1067;0.3
1707;0
772;0
1668;0.7
468;0
954;0
668;0
295;0
351;0
1349;0
1337;0
851;0.8
519;0.6
1540;0.2
571;0.4
864;0.4
362;1
544;1
1693;0.4
714;0.6
429;0.6
327;0.8
611;0.2
812;0.6
187;0.2
1411;0.6
1039;0
1637;0.3
1522;0.3
1207;0.6
250;0.1
1235;0
560;0.8
199;0.8
918;1
672;0.4
434;0.6
85;1
269;1
114;0.6
1085;0.2
1453;0.8
1211;0.8
858;0.8
212;0
551;1
815;0.8
1513;0.6
253;0.2
73;0.6
850;0.4
662;0.4
209;0.4
771;0.2
135;0
95;1
1694;0.6
130;0.8
831;1
1417;0
108;0.4
1493;0.8
1345;0
1475;1
1560;0.2
1691;0
1298;0.6
220;0.6
422;0.4
1530;0
1623;0.6
805;0.8
1206;0.6
272;0
1731;0.2
1544;0.2
1122;0
329;0.6
1743;0
46;0.4
1541;0.2
1309;1
299;1
282;0.2
1643;0.6
1488;0
823;0.1
793;0.3
1398;0.6
349;0.6
924;0.3
268;0.6
704;0.6
1689;0.3
1366;0
820;0
485;0
694;0
644;0
271;0.6
1278;0.7
770;0.9
1092;0.7
1363;0
932;0
1671;0
1238;1
1144;0
827;0.4
339;0.3
